"Model","Metric","Mean","SD"
"CART","mae",0.325721979021563,0.0611421762312499
"CART","mse",0.196994096536852,0.0652407388516645
"CART","r2",0.419353004250388,0.188992344317656
"CART","rmse",0.439330474145683,0.0772932502594585
"Lasso","mae",0.46720693518616,0.0300532382705002
"Lasso","mse",0.318441448014983,0.0289488640164818
"Lasso","r2",0.0587380742279341,0.0200227548505516
"Lasso","rmse",0.563921726353686,0.0255068979276552
"LightGBM","mae",0.165951141429984,0.00918588112376387
"LightGBM","mse",0.0461593849085315,0.00492919049263818
"LightGBM","r2",0.862877079417415,0.018992066638916
"LightGBM","rmse",0.214644078427205,0.0114436339071467
"PILOT","mae",0.37543797555709,0.1277206023011
"PILOT","mse",0.238126827664258,0.129311798374327
"PILOT","r2",0.311815843134253,0.335900614626686
"PILOT","rmse",0.473239826428375,0.145795546980862
"PRForest","mae",0.443712536427357,0.0328555129992527
"PRForest","mse",0.301202151308527,0.0318235879616146
"PRForest","r2",0.110587313995579,0.0087362719897824
"PRForest","rmse",0.548320848623993,0.0286286117230068
"PRTree","mae",0,0
"PRTree","mse",0,0
"PRTree","r2",0,0
"PRTree","rmse",0,0
"RaFFLE","mae",0.231782465677238,0.0179944107488942
"RaFFLE","mse",0.0935255137346593,0.0166182885413323
"RaFFLE","r2",0.722558137142944,0.0536541795312187
"RaFFLE","rmse",0.30500443074115,0.0273261128664478
"RandomForest","mae",0.23067742011056,0.0161592964517507
"RandomForest","mse",0.0921609279404278,0.00466887787093409
"RandomForest","r2",0.726787564161418,0.0165250012038428
"RandomForest","rmse",0.303514547117027,0.00773119933523859
"Ridge","mae",0.468389418321825,0.0299690995014793
"Ridge","mse",0.321735387893314,0.0290981695050715
"Ridge","r2",0.0486472369632723,0.0390351602300089
"Ridge","rmse",0.566828543429101,0.0257135250604883
"XGBoost","mae",0.162306845621204,0.0451494363211965
"XGBoost","mse",0.050610567611224,0.0355687558174772
"XGBoost","r2",0.847492991486153,0.112859882694864
"XGBoost","rmse",0.21652729921267,0.0747645936278437
