"Model","Metric","Mean","SD"
"LightGBM","mae",2.34729572543842,0.471708941189875
"LightGBM","mse",20.8566106061152,4.41207996732276
"LightGBM","r2",-0.0299068720959281,0.116387570101209
"LightGBM","rmse",4.5421043212377,0.500997827794108
"PRForest","mae",2.22605561167394,0.22061843376117
"PRForest","mse",19.5985857579574,3.9457858655757
"PRForest","r2",0.0337795450070423,0.0303882894299638
"PRForest","rmse",4.40605940806517,0.453659503443087
"RaFFLE","mae",2.51822435208939,0.523959057257353
"RaFFLE","mse",22.2916343588679,5.26641732071946
"RaFFLE","r2",-0.100905028224397,0.159072683287055
"RaFFLE","rmse",4.69126776425373,0.561388282090544
"RandomForest","mae",2.57487819485251,0.626716727999434
"RandomForest","mse",23.2998976384257,5.95822885746426
"RandomForest","r2",-0.145404002596667,0.181501951921135
"RandomForest","rmse",4.78876894169559,0.639087597436464
"XGBoost","mae",2.04578397409133,0.323907572506126
"XGBoost","mse",22.2324795523115,3.49866219416173
"XGBoost","r2",-0.114170493374131,0.161839411009452
"XGBoost","rmse",4.70182479190347,0.373159451401828
