"Model","Metric","Mean","SD"
"CART","mae",0.466237617468321,0.0371735297287762
"CART","mse",0.469633444286321,0.18962341349159
"CART","r2",0.900879215424361,0.0482273255569437
"CART","rmse",0.672522554757058,0.138831863254963
"Lasso","mae",1.37460618886139,0.0754315384876801
"Lasso","mse",2.74521581164867,0.260440724109386
"Lasso","r2",0.437731473843173,0.0604990000349526
"Lasso","rmse",1.65514428705195,0.0796743419451798
"LightGBM","mae",0.481630417931557,0.0586621179161277
"LightGBM","mse",0.476318581290715,0.252365721669971
"LightGBM","r2",0.901838118670164,0.0539849126445311
"LightGBM","rmse",0.67076107796891,0.171263791245814
"PILOT","mae",0.468111803525286,0.0507301278409097
"PILOT","mse",0.557598441065825,0.256649736852645
"PILOT","r2",0.881108453886247,0.0607113147153051
"PILOT","rmse",0.72664066535626,0.181327771104757
"PRForest","mae",1.41541222916185,0.0979644462407589
"PRForest","mse",3.00063497887872,0.399182968597202
"PRForest","r2",0.38834987560113,0.0599483692267475
"PRForest","rmse",1.72878898415232,0.115102018286661
"RaFFLE","mae",0.507393115713747,0.0598128762871405
"RaFFLE","mse",0.521870773184434,0.184674681252373
"RaFFLE","r2",0.891253677128136,0.042339113500532
"RaFFLE","rmse",0.712239638218845,0.127303098218045
"RandomForest","mae",0.512845672337216,0.0523296597844052
"RandomForest","mse",0.482673328042225,0.128282977589182
"RandomForest","r2",0.90180046791103,0.0228979042135869
"RandomForest","rmse",0.689258267253381,0.0918717044161321
"Ridge","mae",1.37555753827307,0.0764024744170128
"Ridge","mse",2.75229555669588,0.252307976451465
"Ridge","r2",0.43620026034432,0.0600993488022153
"Ridge","rmse",1.65738217512766,0.0773152440407555
"XGBoost","mae",0.509984529960686,0.0362800765532328
"XGBoost","mse",0.516818307702959,0.165449215506201
"XGBoost","r2",0.891466362486497,0.0427816117886891
"XGBoost","rmse",0.71054354618408,0.115210805237428
