"Model","Metric","Mean","SD"
"CART","mae",0.291171751269723,0.0641174226224996
"CART","mse",0.15536008681592,0.0712963088105905
"CART","r2",0.496251104656251,0.220021190767578
"CART","rmse",0.384596638682161,0.0909548870491004
"Lasso","mae",0.447618156086109,0.0244635944617165
"Lasso","mse",0.295746362198706,0.0269021304060748
"Lasso","r2",0.0344677953465178,0.0415596366866899
"Lasso","rmse",0.543329066916923,0.0244923398884842
"LightGBM","mae",0.166843107003535,0.0145075749679224
"LightGBM","mse",0.045525264375762,0.00710665114486794
"LightGBM","r2",0.849808259976336,0.0321091118992326
"LightGBM","rmse",0.212762479448159,0.0169112623496805
"PILOT","mae",0,0
"PILOT","mse",0,0
"PILOT","r2",0,0
"PILOT","rmse",0,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.227563065685408,0.0256758660427799
"RaFFLE","mse",0.0900452653612816,0.0209657993798528
"RaFFLE","r2",0.703814611851584,0.0781505537170007
"RaFFLE","rmse",0.298189590242605,0.035406114227615
"RandomForest","mae",0.213416437188751,0.0214422133698388
"RandomForest","mse",0.0791454845369231,0.0166831988882071
"RandomForest","r2",0.741329781126002,0.0524557818552703
"RandomForest","rmse",0.279947101092679,0.0293466849675957
"Ridge","mae",0.450228430373384,0.0233037883336707
"Ridge","mse",0.2993057445159,0.027238213862481
"Ridge","r2",0.0224000793533297,0.0523289888535438
"Ridge","rmse",0.546588154832136,0.0246561579664515
"XGBoost","mae",0.148082037410863,0.0264980614036517
"XGBoost","mse",0.0387389320413645,0.0198582891821037
"XGBoost","r2",0.873011948350383,0.0627067797920185
"XGBoost","rmse",0.192543070638166,0.0430258060882665
