"Model","Metric","Mean","SD"
"CART","mae",0.291606138386539,0.0625039102218774
"CART","mse",0.155163203917394,0.0707087104261469
"CART","r2",0.496861477663052,0.217862163085229
"CART","rmse",0.384536796080774,0.0900287384815867
"Lasso","mae",0.448966786934636,0.03051997480837
"Lasso","mse",0.300007374205363,0.0339919846724071
"Lasso","r2",0.0218453478873509,0.0572048327800397
"Lasso","rmse",0.546953808445433,0.0307120250137239
"LightGBM","mae",0.166843107003535,0.0145075749679224
"LightGBM","mse",0.045525264375762,0.00710665114486794
"LightGBM","r2",0.849808259976336,0.0321091118992326
"LightGBM","rmse",0.212762479448159,0.0169112623496805
"PILOT","mae",0,0
"PILOT","mse",0,0
"PILOT","r2",0,0
"PILOT","rmse",0,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.238463771047947,0.0347972064103516
"RaFFLE","mse",0.100113611027905,0.033967557069486
"RaFFLE","r2",0.672735071981019,0.109850160691665
"RaFFLE","rmse",0.312536299672004,0.052011456165779
"RandomForest","mae",0.213191121853369,0.0182019563073753
"RandomForest","mse",0.0794662965379108,0.0166312456203766
"RandomForest","r2",0.739682264566447,0.0551454203325919
"RandomForest","rmse",0.280624965595792,0.0282041214929782
"Ridge","mae",0.448729894163561,0.0236120713311182
"Ridge","mse",0.29775673205022,0.0276426303090798
"Ridge","r2",0.0281610944670743,0.0399385186349805
"Ridge","rmse",0.545147378352477,0.025189678786753
"XGBoost","mae",0.151882025935421,0.025173961350176
"XGBoost","mse",0.0402479556290166,0.0195112430801121
"XGBoost","r2",0.868481517064275,0.0609315386967709
"XGBoost","rmse",0.196481490865974,0.0427262523527644
