"Model","Metric","Mean","SD"
"CART","mae",0.325721979021563,0.0611421762312499
"CART","mse",0.196994096536852,0.0652407388516645
"CART","r2",0.419353004250388,0.188992344317656
"CART","rmse",0.439330474145683,0.0772932502594585
"Lasso","mae",0.46720693518616,0.0300532382705002
"Lasso","mse",0.318441448014983,0.0289488640164818
"Lasso","r2",0.0587380742279341,0.0200227548505516
"Lasso","rmse",0.563921726353686,0.0255068979276552
"LightGBM","mae",0.165951141429984,0.00918588112376387
"LightGBM","mse",0.0461593849085315,0.00492919049263818
"LightGBM","r2",0.862877079417415,0.018992066638916
"LightGBM","rmse",0.214644078427205,0.0114436339071467
"PILOT","mae",0.37543797555709,0.1277206023011
"PILOT","mse",0.238126827664258,0.129311798374327
"PILOT","r2",0.311815843134253,0.335900614626686
"PILOT","rmse",0.473239826428375,0.145795546980862
"PRForest","mae",0.444864367883931,0.0320119262258256
"PRForest","mse",0.301227164019544,0.0316899557899395
"PRForest","r2",0.110484964069744,0.00832732258268982
"PRForest","rmse",0.548348300976118,0.0284948636463368
"RaFFLE","mae",0.237407384522789,0.0115150885979453
"RaFFLE","mse",0.100785267423978,0.0122151872419738
"RaFFLE","r2",0.699699526154667,0.0523225055763639
"RaFFLE","rmse",0.317090271790805,0.0189351640979638
"RandomForest","mae",0.229893017667106,0.0224227137004871
"RandomForest","mse",0.0915078998687178,0.0174166989269673
"RandomForest","r2",0.729204003186776,0.051109605452241
"RandomForest","rmse",0.30154673201162,0.0294313170406081
"Ridge","mae",0.468389418321825,0.0299690995014793
"Ridge","mse",0.321735387893314,0.0290981695050715
"Ridge","r2",0.0486472369632723,0.0390351602300089
"Ridge","rmse",0.566828543429101,0.0257135250604883
"XGBoost","mae",0.161427708152918,0.0460009178954301
"XGBoost","mse",0.0510723399682675,0.035149416738074
"XGBoost","r2",0.846030453082247,0.111687271555678
"XGBoost","rmse",0.217873149883051,0.0735217368705174
