"Model","Metric","Mean","SD"
"CART","mae",0.329042631310973,0.0625571537148644
"CART","mse",0.190647622770446,0.0619787150562969
"CART","r2",0.240710717442191,0.293172505208704
"CART","rmse",0.430792109341336,0.0750243019863742
"Lasso","mae",0.418409587144432,0.0339836229635823
"Lasso","mse",0.26427371604683,0.0340750905942452
"Lasso","r2",-0.0289488893375477,0.027847363739485
"Lasso","rmse",0.51307711446939,0.0337571499355623
"LightGBM","mae",0.201311309156085,0.0133443166522882
"LightGBM","mse",0.0641214200989519,0.010098699085046
"LightGBM","r2",0.745445286082643,0.0614551650883932
"LightGBM","rmse",0.252534248096359,0.0196602712018894
"PILOT","mae",0.418192793659677,0.0367189684460358
"PILOT","mse",0.26332443561632,0.0373188490601688
"PILOT","r2",-0.0233378555787996,0.0292743983032297
"PILOT","rmse",0.511923781180346,0.037393966808936
"PRForest","mae",0.416235810149442,0.0357178888897301
"PRForest","mse",0.26301378868367,0.0375121195474095
"PRForest","r2",-0.0221146288441421,0.0276784479566582
"PRForest","rmse",0.511619104448319,0.0374118318653699
"RaFFLE","mae",0.270090061521834,0.0244017427191936
"RaFFLE","mse",0.121326686075524,0.0209319497897149
"RaFFLE","r2",0.522441083012936,0.0898417755025661
"RaFFLE","rmse",0.347170230028606,0.0298052466934005
"RandomForest","mae",0.303822141747118,0.0178179856045435
"RandomForest","mse",0.146941257167089,0.0103787225882393
"RandomForest","r2",0.421703556200072,0.0640734433052202
"RandomForest","rmse",0.383122097868192,0.0132796959538795
"Ridge","mae",0.418814177825134,0.0357877679832051
"Ridge","mse",0.264957933947372,0.0361035421881438
"Ridge","r2",-0.0305357186620807,0.0320601147879648
"Ridge","rmse",0.513603365642076,0.0360480658828282
"XGBoost","mae",0.203511434676458,0.0402647701350701
"XGBoost","mse",0.0725764063310474,0.0264401232232289
"XGBoost","r2",0.710789846073375,0.128403289942033
"XGBoost","rmse",0.265776105328268,0.0464215965973813
