"Model","Metric","Mean","SD"
"CART","mae",0.33717354621655,0.0510839908918409
"CART","mse",0.208808248337699,0.0568068329676509
"CART","r2",0.338186907091252,0.179911967586179
"CART","rmse",0.453194237122619,0.0654143693746476
"Lasso","mae",0.453863821278818,0.0302101226551599
"Lasso","mse",0.307916098563619,0.0303557370273318
"Lasso","r2",0.0271116353297465,0.0468819027788738
"Lasso","rmse",0.554361457666577,0.0273740939897335
"LightGBM","mae",0.169186809883429,0.00883949956168009
"LightGBM","mse",0.0470221664228498,0.00603472513679053
"LightGBM","r2",0.848731135329343,0.0371136886645376
"LightGBM","rmse",0.216493650574129,0.0138141993948565
"PILOT","mae",0.397768310490007,0.0957391591218406
"PILOT","mse",0.258474151744338,0.0966198448076276
"PILOT","r2",0.182767436521931,0.296794262968235
"PILOT","rmse",0.498849106755264,0.109679763595055
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.243779622038671,0.0125185776667361
"RaFFLE","mse",0.104440558203301,0.0105045404535943
"RaFFLE","r2",0.664340840590158,0.0720345163967605
"RaFFLE","rmse",0.322843669792396,0.0162988910005689
"RandomForest","mae",0.223755068207396,0.0181929647331473
"RandomForest","mse",0.0873484394812187,0.0142068973032128
"RandomForest","r2",0.722447147458914,0.0509346002158516
"RandomForest","rmse",0.294769916277794,0.0239566258788951
"Ridge","mae",0.454509219131382,0.0300388071055114
"Ridge","mse",0.310539093951412,0.0308435942099977
"Ridge","r2",0.0187697143608794,0.0507032102778903
"Ridge","rmse",0.556705598065372,0.0277932328564275
"XGBoost","mae",0.158673473474912,0.0330688752679252
"XGBoost","mse",0.0470310919392503,0.0257546729180262
"XGBoost","r2",0.849151972631791,0.0825476970792432
"XGBoost","rmse",0.211506128319734,0.0535752930748677
