"Model","Metric","Mean","SD"
"LightGBM","mae",0.338074348820838,0.0283895936660425
"LightGBM","mse",0.199427924882031,0.0383076530841449
"LightGBM","r2",0.950747525556126,0.0109595471765393
"LightGBM","rmse",0.444766851194873,0.0423001570817733
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.272726589372931,0.0115516039310949
"RaFFLE","mse",0.123799359984531,0.0184030989905845
"RaFFLE","r2",0.968649910975645,0.0102382069047998
"RaFFLE","rmse",0.350977106386863,0.0261285449872569
"RandomForest","mae",0.290665126862273,0.0148013007337742
"RandomForest","mse",0.136341452021786,0.0222326115512738
"RandomForest","r2",0.966148363739628,0.00766302028904609
"RandomForest","rmse",0.368191492537221,0.0293726411818881
"XGBoost","mae",0.294463353319443,0.0207759643551056
"XGBoost","mse",0.139714686809936,0.0239472954950332
"XGBoost","r2",0.965268609322217,0.00836127301901097
"XGBoost","rmse",0.372612799126664,0.0311695851918408
