"Model","Metric","Mean","SD"
"LightGBM","mae",0.486515208003383,0.0532117601435402
"LightGBM","mse",0.482071324708704,0.238657214488164
"LightGBM","r2",0.900773593390797,0.0505075982651118
"LightGBM","rmse",0.676956186204977,0.162623104370254
"PRForest","mae",1.42382360609325,0.113935664845916
"PRForest","mse",3.0577702509349,0.448074170970654
"PRForest","r2",0.378090006712454,0.0586151767730184
"PRForest","rmse",1.74435626956693,0.129062671070355
"RaFFLE","mae",0.513390733217449,0.052856208140584
"RaFFLE","mse",0.537014401051971,0.180432836949251
"RaFFLE","r2",0.88708680940167,0.0450069083886206
"RaFFLE","rmse",0.72321742004818,0.124592510880802
"RandomForest","mae",0.518005601812399,0.0553830197123895
"RandomForest","mse",0.492319172470524,0.143940784833321
"RandomForest","r2",0.899744251346187,0.0271426213212774
"RandomForest","rmse",0.694894999497318,0.102415884966621
"XGBoost","mae",0.503394881468215,0.0260464428407959
"XGBoost","mse",0.493269126401138,0.140913955293025
"XGBoost","r2",0.896162314752211,0.0397992979095328
"XGBoost","rmse",0.695784885893451,0.100843767853355
