"Model","Metric","Mean","SD"
"CART","mae",0.190264539430073,0.020865224808627
"CART","mse",0.0560719122343707,0.0137469304882343
"CART","r2",0.628077320252734,0.0571148101240954
"CART","rmse",0.235622842551833,0.0288215622971244
"Lasso","mae",0.221186099039205,0.0265104224685802
"Lasso","mse",0.0729472962869201,0.0184123432229884
"Lasso","r2",0.518177397656575,0.0549503730358497
"Lasso","rmse",0.268731168457486,0.03311016580435
"LightGBM","mae",0.180483275155576,0.00561005490687997
"LightGBM","mse",0.0490073677529532,0.00472612251842321
"LightGBM","r2",0.670784264318328,0.0389348752578212
"LightGBM","rmse",0.22120069189692,0.0107903885896554
"PILOT","mae",0.185852789688604,0.0133974300144242
"PILOT","mse",0.051991959288124,0.00746615343654182
"PILOT","r2",0.652969827101186,0.0234259654049306
"PILOT","rmse",0.227634920968779,0.0161695103665029
"PRForest","mae",0.22822286382159,0.0179788353244319
"PRForest","mse",0.0800876143327452,0.0133362837640412
"PRForest","r2",0.467239460912281,0.0211837979003634
"PRForest","rmse",0.282355378258828,0.0233362818715656
"RaFFLE","mae",0.172954499254982,0.00800202944095685
"RaFFLE","mse",0.0448521723382429,0.00488445557701759
"RaFFLE","r2",0.699312942541019,0.0301316903283183
"RaFFLE","rmse",0.211572244798946,0.0115774070268974
"RandomForest","mae",0.184386505531908,0.0155602631865525
"RandomForest","mse",0.0511014587644955,0.00772474245248685
"RandomForest","r2",0.658991089457261,0.0266863626777291
"RandomForest","rmse",0.225634210638393,0.0169113166586035
"Ridge","mae",0.222934089979912,0.0237461858014125
"Ridge","mse",0.0746672366381519,0.0172254620975573
"Ridge","r2",0.506049519595,0.0469144218321381
"Ridge","rmse",0.272080161590435,0.0309747229303501
"XGBoost","mae",0.191296813761548,0.0128888655760431
"XGBoost","mse",0.055313636387001,0.00624259087817459
"XGBoost","r2",0.628109885636858,0.0534522526357799
"XGBoost","rmse",0.234929943565039,0.0135032220337568
