"Model","Metric","Mean","SD"
"CART","mae",3.22176857100747,1.0495661265557
"CART","mse",30.3250471272728,2.55736200402642
"CART","r2",-0.490401759457763,0.306957881639036
"CART","rmse",5.50346746030887,0.235243620298915
"Lasso","mae",2.48484891939361,0.0358277345770011
"Lasso","mse",21.455682483827,3.84947670796441
"Lasso","r2",-0.0306829376446417,0.0389170803840829
"Lasso","rmse",4.62013074058202,0.406339310963227
"LightGBM","mae",2.86509006098148,0.749813359991531
"LightGBM","mse",24.0027827301042,3.40384375377755
"LightGBM","r2",-0.17093619461033,0.232484548490376
"LightGBM","rmse",4.8909916132819,0.348533575664368
"PILOT","mae",2.43218592475268,0.14972127362992
"PILOT","mse",21.0128064017622,4.20311528332145
"PILOT","r2",-0.00786706864237074,0.0669391794130521
"PILOT","rmse",4.56927766223237,0.449179330312329
"PRForest","mae",2.33053851146936,0.24399375694943
"PRForest","mse",19.4527321182193,3.1502963473058
"PRForest","r2",0.0641100997575927,0.0198994057127637
"PRForest","rmse",4.40126251547172,0.349900817638714
"RaFFLE","mae",2.55974556309495,0.454888802861312
"RaFFLE","mse",21.9220876932593,3.8321663270634
"RaFFLE","r2",-0.0563972575345406,0.1147220514724
"RaFFLE","rmse",4.66992017850514,0.413400325924903
"RandomForest","mae",2.75575629997311,0.531545826142611
"RandomForest","mse",25.1016739543325,3.4818187477384
"RandomForest","r2",-0.221549815664085,0.217079551734656
"RandomForest","rmse",5.0018690737163,0.352802473913372
"Ridge","mae",2.61459355088502,0.321044735996878
"Ridge","mse",21.9303870337791,3.46568417916497
"Ridge","r2",-0.0563298796967186,0.062563225931425
"Ridge","rmse",4.67339933765726,0.366863049169225
"XGBoost","mae",2.20257961746465,0.415060798621957
"XGBoost","mse",21.8402224653138,2.8497043193108
"XGBoost","r2",-0.0537556367396879,0.0231869128319717
"XGBoost","rmse",4.66691611322011,0.30029100256343
