"Model","Metric","Mean","SD"
"CART","mae",0.339807412991003,0.0716246532942338
"CART","mse",0.20168360498413,0.0704496570127619
"CART","r2",0.125566366375894,0.354643940425353
"CART","rmse",0.442365879512797,0.0865739108146836
"Lasso","mae",0.400917778072514,0.0339147969095714
"Lasso","mse",0.244454397617362,0.0266105574596437
"Lasso","r2",-0.0306798762279667,0.0348517916257842
"Lasso","rmse",0.49380326841759,0.0276751178287436
"LightGBM","mae",0.203231536490952,0.0118395087792345
"LightGBM","mse",0.0651020432189449,0.0104636755461083
"LightGBM","r2",0.720058353150078,0.0745609456936792
"LightGBM","rmse",0.254497470322561,0.02040468139797
"PILOT","mae",0.399421859978353,0.0369592442485078
"PILOT","mse",0.242131633604377,0.0314888467260012
"PILOT","r2",-0.0183540634892679,0.0313509051251674
"PILOT","rmse",0.491169480360398,0.0332448335623934
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",0.272265913550989,0.0268611375147603
"RaFFLE","mse",0.125659023674902,0.0251782935183964
"RaFFLE","r2",0.468483050920961,0.0942740695584902
"RaFFLE","rmse",0.353081460353148,0.0352226140034705
"RandomForest","mae",0.296317574364577,0.0158512282069528
"RandomForest","mse",0.142005550389476,0.00436555269382955
"RandomForest","r2",0.395514527698977,0.0709113909678477
"RandomForest","rmse",0.376799970923497,0.00584511564552226
"Ridge","mae",0.400850199893237,0.0373573082383592
"Ridge","mse",0.244271796326054,0.0313223014020878
"Ridge","r2",-0.0279735428651274,0.0430222889790697
"Ridge","rmse",0.493367001823047,0.0328023977437558
"XGBoost","mae",0.211822275029194,0.0516600242616182
"XGBoost","mse",0.0775467700837256,0.0350878305103564
"XGBoost","r2",0.66306560370876,0.171867130667146
"XGBoost","rmse",0.273432548756687,0.0589640925070905
