"Model","Metric","Mean","SD"
"LightGBM","mae",0.187839998305005,0.0106115807896211
"LightGBM","mse",0.0541116333148356,0.00645852453478144
"LightGBM","r2",0.661986328987976,0.0451842382713174
"LightGBM","rmse",0.232254878101022,0.013715559417243
"PRForest","mae",0.243754483608327,0.0266217214763338
"PRForest","mse",0.0911015252590006,0.0174361348155476
"PRForest","r2",0.440408703966081,0.0345238213696658
"PRForest","rmse",0.300565097187922,0.0291003553131355
"RaFFLE","mae",0.179211309596484,0.0108342148358472
"RaFFLE","mse",0.0502192960311947,0.00578297159361884
"RaFFLE","r2",0.687431991946065,0.0295082014887006
"RaFFLE","rmse",0.223760531614907,0.0129323248150082
"RandomForest","mae",0.187541770733758,0.0134919222621054
"RandomForest","mse",0.0555536858814909,0.00746757252772845
"RandomForest","r2",0.65460426415448,0.0337274641856861
"RandomForest","rmse",0.235247353373072,0.0153611563676364
"XGBoost","mae",0.197669846975215,0.0168920946607269
"XGBoost","mse",0.0612648905965775,0.00993262458166651
"XGBoost","r2",0.618739819912304,0.0530997014520405
"XGBoost","rmse",0.246811718444482,0.019688299826697
