"Model","Metric","Mean","SD"
"LightGBM","mae",0.188337540457692,0.0111776648185556
"LightGBM","mse",0.054203982578199,0.00671851739527752
"LightGBM","r2",0.661539727889898,0.0460542240240291
"LightGBM","rmse",0.232417809873284,0.0143737504541064
"PRForest","mae",0.171393605065037,0.00940071770694517
"PRForest","mse",0.0452638077080221,0.00502810954159302
"PRForest","r2",0.71858234660151,0.0204183846461012
"PRForest","rmse",0.212461899728077,0.0117259859551685
"RaFFLE","mae",0.179211309596484,0.0108342148358472
"RaFFLE","mse",0.0502192960311947,0.00578297159361884
"RaFFLE","r2",0.687431991946065,0.0295082014887006
"RaFFLE","rmse",0.223760531614907,0.0129323248150082
"RandomForest","mae",0.189694505160376,0.0128021079236679
"RandomForest","mse",0.0564284258428879,0.00696002880494368
"RandomForest","r2",0.649397628512925,0.028757207349612
"RandomForest","rmse",0.237141111708983,0.0146256616304524
"XGBoost","mae",0.19178245159936,0.0109776037648061
"XGBoost","mse",0.0580862002319178,0.00690744471544416
"XGBoost","r2",0.637380550009804,0.0459653741519533
"XGBoost","rmse",0.240629435692359,0.014285770320866
