"Model","Metric","Mean","SD"
"LightGBM","mae",0.481630066141723,0.0561689748948102
"LightGBM","mse",0.474177583084371,0.242625112805337
"LightGBM","r2",0.902611859560364,0.0508070906847671
"LightGBM","rmse",0.670422694792809,0.165700510933024
"PRForest","mae",0.778018845427199,0.0606595954577132
"PRForest","mse",1.15194721052975,0.194166482297201
"PRForest","r2",0.76308734552254,0.0448251134865864
"PRForest","rmse",1.0699013556638,0.0898041058113233
"RaFFLE","mae",0.513390733217449,0.052856208140584
"RaFFLE","mse",0.537014401051971,0.180432836949251
"RaFFLE","r2",0.88708680940167,0.0450069083886206
"RaFFLE","rmse",0.72321742004818,0.124592510880802
"RandomForest","mae",0.515973915337373,0.049735600640883
"RandomForest","mse",0.496551713545723,0.138294748530318
"RandomForest","r2",0.898871715436966,0.0253705623164744
"RandomForest","rmse",0.698576445683587,0.0974261149213966
"XGBoost","mae",0.509822804255388,0.0261718270389412
"XGBoost","mse",0.511058578698879,0.138399537742006
"XGBoost","r2",0.892738756194314,0.0387586345277541
"XGBoost","rmse",0.708964666192457,0.0967682270484902
