"Model","Metric","Mean","SD"
"LightGBM","mae",0.166843107003535,0.0145075749679224
"LightGBM","mse",0.045525264375762,0.00710665114486794
"LightGBM","r2",0.849808259976336,0.0321091118992326
"LightGBM","rmse",0.212762479448159,0.0169112623496805
"PRForest","mae",0.431612243179225,0.0272513954129796
"PRForest","mse",0.286819522170085,0.0326288563808262
"PRForest","r2",0.0642331648759143,0.0678281360510458
"PRForest","rmse",0.534788063058118,0.0302076108995202
"RaFFLE","mae",0.253612913984588,0.02910080887061
"RaFFLE","mse",0.109594825207126,0.0292405127132888
"RaFFLE","r2",0.640718555468107,0.0985690908373999
"RaFFLE","rmse",0.328491658591956,0.0433083959351965
"RandomForest","mae",0.209444863447447,0.0171938385159904
"RandomForest","mse",0.0752363952941963,0.0117943202837695
"RandomForest","r2",0.753355587590689,0.0428876126993013
"RandomForest","rmse",0.273553690600227,0.0212072747788627
"XGBoost","mae",0.148041197345528,0.0283452783256405
"XGBoost","mse",0.040121109840038,0.0251323799796675
"XGBoost","r2",0.868910835368481,0.0779847539729655
"XGBoost","rmse",0.194397559262985,0.0508887544075014
