"Model","Metric","Mean","SD"
"CART","mae",0.266605326031509,0.0202843579595594
"CART","mse",0.111967233171168,0.0190711422764376
"CART","r2",0.737154505526917,0.0494919034655528
"CART","rmse",0.333758209745244,0.0293093141889503
"Lasso","mae",0,0
"Lasso","mse",0,0
"Lasso","r2",0,0
"Lasso","rmse",0,0
"LightGBM","mae",0.265209209218043,0.00938213896041616
"LightGBM","mse",0.110426629352185,0.0140026439717463
"LightGBM","r2",0.740746453055514,0.0387457336663239
"LightGBM","rmse",0.331841116775515,0.0214977639312907
"PILOT","mae",0.255245384789523,0.0195965240429198
"PILOT","mse",0.102537965989319,0.0184550892155606
"PILOT","r2",0.759705350793347,0.0435412137565582
"PILOT","rmse",0.319300920480168,0.0296197949816509
"PRForest","mae",0.25478360304859,0.0200564147496953
"PRForest","mse",0.102719866434837,0.0190008061246365
"PRForest","r2",0.759335753736452,0.0442816370547678
"PRForest","rmse",0.319532089041936,0.030474017802047
"RaFFLE","mae",0.255270178566019,0.0179127064390477
"RaFFLE","mse",0.102663620000063,0.0177699176716997
"RaFFLE","r2",0.759405125041656,0.0419681257514544
"RaFFLE","rmse",0.319567774574153,0.0284620129414502
"RandomForest","mae",0.298069430930297,0.0206659665737932
"RandomForest","mse",0.138481292313347,0.022373933983355
"RandomForest","r2",0.676451860615248,0.0408158960552203
"RandomForest","rmse",0.371322474247438,0.0300228021370863
"Ridge","mae",0,0
"Ridge","mse",0,0
"Ridge","r2",0,0
"Ridge","rmse",0,0
"XGBoost","mae",0.293797507213538,0.0380959425475074
"XGBoost","mse",0.136648659434943,0.0387823423896916
"XGBoost","r2",0.682517588815644,0.0712076869223908
"XGBoost","rmse",0.367254383218224,0.0515685578906174
