"Model","Metric","Mean","SD"
"CART","mae",0.200622657021185,0.0135826854503621
"CART","mse",0.0628699908087895,0.00932872406160047
"CART","r2",0.60760224378199,0.0643643073130476
"CART","rmse",0.250068722458369,0.0193110462582257
"Lasso","mae",0.231064416575876,0.0224838576482819
"Lasso","mse",0.0828672527280912,0.0161356178209453
"Lasso","r2",0.489972760167794,0.0566900593560155
"Lasso","rmse",0.286559546242083,0.0288844284389967
"LightGBM","mae",0.18877033402455,0.0114885030938582
"LightGBM","mse",0.0544476273561981,0.00718515100899863
"LightGBM","r2",0.660056708839575,0.0478815318140109
"LightGBM","rmse",0.23289486563257,0.0151880405504201
"PILOT","mae",0.18792714146539,0.00776347983887074
"PILOT","mse",0.0557603862900033,0.00510290441813987
"PILOT","r2",0.650778754375451,0.0494153665473032
"PILOT","rmse",0.235905951214357,0.0109933551471854
"PRForest","mae",0.243251781104771,0.0246561440219406
"PRForest","mse",0.091233863972077,0.0163819569868925
"PRForest","r2",0.438609196436969,0.032473014642793
"PRForest","rmse",0.300933308834346,0.0273456802619312
"RaFFLE","mae",0.179470876516683,0.0102835129356699
"RaFFLE","mse",0.0498804931140709,0.0056704831109112
"RaFFLE","r2",0.689715831847337,0.0269903037855904
"RaFFLE","rmse",0.223010836228093,0.0127654063310758
"RandomForest","mae",0.189149116958788,0.0121642271172765
"RandomForest","mse",0.0560236720555753,0.00723963919466368
"RandomForest","r2",0.651667596920368,0.0336187648242921
"RandomForest","rmse",0.236258337885885,0.0151169454209662
"Ridge","mae",0.23080802487056,0.0210259863329689
"Ridge","mse",0.0829764234162444,0.0152805360190538
"Ridge","r2",0.488569849152189,0.0537957945960654
"Ridge","rmse",0.286888189587861,0.0273168668132599
"XGBoost","mae",0.193891656597807,0.00809157789687702
"XGBoost","mse",0.0593130990881185,0.00514569836404301
"XGBoost","r2",0.62937316250783,0.0413469599222206
"XGBoost","rmse",0.243326798725699,0.0108098776856883
