"Model","Metric","Mean","SD"
"LightGBM","mae",0.895269265502332,0
"LightGBM","mse",2.4890388734131,0
"LightGBM","r2",0.969314686761676,0
"LightGBM","rmse",1.57766880979916,0
"PRForest","mae",0,0
"PRForest","mse",0,0
"PRForest","r2",0,0
"PRForest","rmse",0,0
"RaFFLE","mae",1.22960557292995,0.020283580721212
"RaFFLE","mse",3.51897937623058,0.153634868119959
"RaFFLE","r2",0.956617397344716,0.00189403793687036
"RaFFLE","rmse",1.87549073752899,0.0410131371032192
"RandomForest","mae",1.00957633438674,0
"RandomForest","mse",2.5374237087406,0
"RandomForest","r2",0.968718189919514,0
"RandomForest","rmse",1.59292928554302,0
"XGBoost","mae",0.645833856871958,0
"XGBoost","mse",0.6814189565531,0
"XGBoost","r2",0.991599346096314,0
"XGBoost","rmse",0.825481045544415,0
